comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,llama_similarity
I am wrecking your Wikipedia. Do something.,1,0,0,0,0,0,0.8292437
"""

 Reverting for no reason 

I spent quite some time improving an article that was in a poor state.  Now two people have undone all my work with a click of a button.  You didn't have the courtesy to explain why you reverted it, but you still had the fucking cheek to accuse me of leaving an inaccurate edit summary.  No-one's that stupid so you were plainly just out to provoke me.  Well fucking well done, consider me fucking provoked.  I guess you didn't even bother to look at the changes before you put all that shit back.

Self-arrest refers to various maneuvers employed in mountaineering
It doesn't """"refer"""" to that; it is that.  You want to say """"Paris refers to the capital city of France"""" or """"Nile refers to a river that flows into the Mediterranean""""?
sliding down a snow or ice covered slope arrests (stops) the slide
 You think readers are too stupid to understand what """"arrests"""" means in this context?
himself or herself
 You think the single word """"themselves"""" is some how better expressed in three words?
and/or ice axe
 You never bothered to read WP:SLASH?
 These potentially life-saving techniques must be practiced frequently in order to maintain proficiency
 This website is called wikipedia, not wikimanual.  But you never bothered to read WP:NOT, did you?

That's just the first five, I made many more, I left the article looking considerably better and more encyclopaedic, but then you came along and fucked it all back up again.  Do you feel proud?  186.9.130.34  

Still waiting for you to justify your risible claim of OR. Also, stop stalking and harassing, eh? 186.9.132.124  """,1,0,1,0,0,0,0.75492036
"You appear to have forgotten to sign your post using ~~~~. Also, see here.",0,0,0,0,0,0,0.7478566
"I have reinstalled the 1930 date; even your source dates the code to 1930. Even if the code only became binding in 1934 (as claimed by this article), it is factually inaccurate to say the code itself was first implemented in any year other than 1930.",0,0,0,0,0,0,0.74708235
"SATAN

SATAN SATAN SATAN ROCKS",1,0,0,0,0,0,0.5630184
"NAZI WIKIPEDIA ADMINS
EVERYONE KNOWS THEY LOCK THESE ARTICLES SO ONLY THE LIBERAL NAZI WIKI ADMINS CAN CHANGE THE INFORMATION. THIS SITE IS THE WORSE WHEN IT COMES TO BEING FAIR!! ALL THE ADMINS VOTE THEIR FRIENDS IN AS ADMINS. IT IS A BIASED WEBSITE AND THEY DO NOT ALLOW INFORMATION THAT ALLOWS THEIR POLITICAL CANDIDATES TO LOOK BAD. THIS IS WHAT THEY DO IN CHINA AND NOW ON WIKIPEDIA.",1,0,0,0,0,0,0.5580388
"""
 What Kiaxar is doing is extremely disruptive, and he is going back to his own reversions. Dougweller, rather than step in to correct it and have It put back again by Kiaxar, I think page protection should be necessary.   ☎   """,0,0,0,0,0,0,0.8021887
Your name is I dream of horses what kind of virgin mongrel blue shite fan are you? Blato sit in the upper Gladwys street,1,0,1,0,1,0,0.7577523
I consider you calling me a vandal a personal attack.  The fat remains tha you ARE a jackass.  Asking for sources from a FIRST HAND witness?,1,0,0,0,1,0,0.8929735
"""

""""the real discussion is not about m/z or m/q but it is about wether the mass-to-charge ratio is a physical unit of dimension mass/charge or wether it is a dimensionless unit.  As someone who is interested in physics you may understand that I have real problems seeing a dimensionless m/z on the mass-to-charge ratio page.  It is the equivalent to have, for example, the """"electronic charge"""" in the article of the """"electric current"""".
This is the problem that I think you're either misunderstanding or too stubborn about your POV to accept. Whether or not you want to discuss the usage of m/z it still is accepted by IUPAC, which btw is not in any way a minority but reflects majority opinion amongst chemists. The wiki entries on notations, standards, units and the like should reflect nothing other than what bodies like IUPAP, IUPAC, and ISO, etc. deicide. I think you'll at least concede that your particular view about m/z is far more of a minority position than that of IUPAC's? Because I agree with you, I said that you should be allowed the opportunity to add a brief explanation of why there may be confusion, along with a discussion of other units, and to add an external link to any reputable journal where there has been a discussion of the problems of m/z. The most recent edit still looks like an attempt to completely discredit the concept of m/z altogether, which is still your POV.
Please keep the rest of the discussion about this mediation on the mediation page.  """,0,0,0,0,0,0,0.6498569
"STOP fucking deleting the November 27, 2009 bit from the release dates for the Virtual Console release of Super Mario Kart in Europe. The article itself says it's coming out on November 27, 2009. So if you ARE going to remove it from the infobox, at least remove it from EVERY single page that mentions the date. Even though it's CONFIRMED to be released on November 27, 2009... PRICK!",1,0,1,0,0,0,0.7683945
"Revert 

Hi.  You reverted me here. Your edit resulted in a link to a dab page. I don't believe we should be linking to a dab page.  Tx.",0,0,0,0,0,0,0.7909253
whatever you say gay boy. atleast i have a life and im not fucking unchanging shit on wikiepedia,1,0,1,0,0,1,0.8255209
"To the humongous faggot pro-russian administrator of the crimea page 

The fock is there to discuss you RETARD. Fock off wikipedia and take your head out of Putins soviet ass-hole, maybe then you'll get an understanding that reality is different from what your dumb media and dumb russian friends are trying to portray on the crimea page, you focking stupid vatnik. 

I'm honestly surprised you got administrators rights, without it the article wouldnt have survived in the state it is now ass-hole. 
Suck my penor and choke on it, there is nothing to discuss except reverting stupid russian lies on that page. I hope you die in a fire sooner than you get to revert all reasonable changes bitch nigguuuh, fock you

Also, please stop ruining wikipedia with your backwards russian culture. russia is crap, CRAP!!! and so are you",1,0,1,0,1,0,0.88246286
nope. TR was very keen on this point.,0,0,0,0,0,0,0.75314295
"Yes, and this page is wayyyyy too long as well. It really needs to be condensed heavily. There are much more important shows that don't have a tenth of what this article has. Shame.",1,0,0,0,0,0,0.7822088
This proves me correct: you were here within minutes.,0,0,0,0,0,0,0.8185884
"nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit nice work removing edits, faggot ass piece of shit ni",1,1,1,0,1,0,0.71753544
"""

 Why no comment? 

I started an article on """"Voice of the Retarded"""" and you speedily deleted it. I should think you would have somewhere noted reason for action and suggested how I could get an entry started. I put in a request for editorial help in writing it but can't find any responses. 'Sup?

The Voice of the Retarded is a long-established advocacy organization with a stable website http://www.vor.net and much influence in the field they serve. They are also quite controversial but are just as deserving of a place in Wikipedia as other advocacy groups for Persons With Disabilities.

  """,0,0,0,0,0,0,0.767967
I personally don't find so strange the theory about Martians. The people that exist somewhere at the arrival of the settlers can be natives in a relation with them. I don't agree with the use of the term for the articles you enumerated either,0,0,0,0,0,0,0.6813706
"A classic BWilkins block, with all the familiar traits to experienced observers - brevity, arrogance and ultimately, ineffectiveness. In true BWilkins style though, someone else has to take his nonsense blocks to their inevitable conclusion . So take your bow Reaper Eternal, there's a good lad.

So here goes, BWilkins presumably blocked me because he thought I was about to OUT someone, yet in his incompetence failed to lock this page, so.....drum roll......User:Mo ainm used to be User:BigDunc, the account that 'retired' and never went back to editting the same articles, pulling the same stunts, or so the public record would have you believe.

Yes, that's the super secret information that the esteemed *arbitrator* Elen of the Roads thinks should be permanently stricken from the record, even though he's now the very conspicuous last man standing of a clique of Irish Republican editors who have been skewing Wikipedia articles for YEARS using the same despicable tactics, and are only now starting to be noticed by the sloths who work AE and be dealt with as appropriate (or 'retire' as they see the wriitng on the wall for their hard won 'reputations' as editors in 'good standing' who never got noticed by the dumbshits who are supposed to monitor editors for compliance with all policies, not just the easy ones).

Mo survives due in no small part to the fact that none of his mates ever had the good fortune of getting away with a mid-life secret change of identity, as well as the general cowardice of people like BWilkins, who usually run a mile rather than deal with something complex like GAMEing on Irish republican related articles. Nope, that's far too much like work for that lazy prick.

This change of identity is being covered up by Elen on the grounds of OUTing. Yes, that's right, Elen wants to stake her reputation on a patently ridiculous claim that knowing that Mo ainm is really a bloke called Duncan who lives in Ireland, is a violation of WP:OUTING, just to cover up the fact that she never bothered to verify whether this was 100% grade A bullshit before she started blocking people for calling it as such, those who were there at the beginning and know just exactly how this lucky cunt came to have this excuse land in his lap and save him from a complete FAIL in understanding what is and is not a CLEANSTART.

So here we are, with sponge brained morons like Reaper and detestible assholes like BWilkins continuing the farce with blocks and censures like this. So well done guys. Assuming neither of you has the backbone to do the necessary and end this farce once and for all by calling Elen out on her lies, one of you has to now ensure this post gets oversighted so she can continue this OUTing bullshit story of hers to cover her own incompetent deceitful ass. (ab)use of oversight is logged, so it's at least good to have more names added to the list of people who've enabled this bullshit for so long anyway, it was starting to look like a one woman crusade.

So....to be continued, as soon as I can register another account (ie in 5 seconds or so).",1,0,1,0,0,0,0.8049437
"You are such a dickwad. She did it, we all watched on TV, it's on fucking youtube. The problem I see here is that she is giving you blow jobs.",1,1,1,0,1,0,0.868804
"""
I have not told any other editors that they are idiots. I have reminded ). If anything, I was reminding User:Viriditas that we (the royal """"we"""") are not required to behave like idiots.
While I realise that the topic of United States diplomatic cables leaks is a very hot topic, I had not expected immediate purges of editors, without any warning, for the slightest whiff of ... whatever-it-is-I've-been-blocked-for. Frankly, my block is absurd.   """,1,0,0,0,0,0,0.758898
"let me tell you little man, a personal attack will be when I find you and beat the hell out of you.  Be very glad I don't know where you live or where I can find you.",1,0,0,1,0,0,0.86656797
Can you tell me why you are such a fag???????????,1,0,1,0,1,0,0.8104709
"All the links from this page seem to have been deleted. I have postd my dream dictionary. I do beleive that posting links is valid. How else is such information to be conveyed. I have spent years analysing dreams. Its not a science. Yet I have attempted to backwards engineer dreams. Look at important events that could trigger dreams. Then see how the dream symbols relate to reality. Hey I maybe spamming. But other than posting up an entire dream dictionary how is such information to be conveyed. Really I thought this was a half decent sitye. Now I just see certain people enforce their own ideas. There is really no democracy.
For your interest this is my site

Dream symbols

That link to http://dmoz.org is useless. Its just a dream directory. Its imposible to joing it because the peopkle who run the sitys have long since lost interest. Just dump it. Its worthless.",0,0,0,0,0,0,0.7569536
"Stop Vandalizing Wikipedia! 

Don't vandalize, jerk. Your messing up the articles with nonsense. Please stop or be blocked!",1,0,0,0,0,0,0.8023417
"I am a sock puppet? THAT is my ban reason? This is my only account, and thanks for ignoring the bulk of my text. Wikipedia IS corrupt AND populated by idiots. I am free to say this, so please refrain from saying anything like that again. I didn't get banned for trolling, or personal attacks, I got banned because I changed an article to NPOV when the far majority of the editors here would rather the see the BNP article as a diatribe denouncing the party.",1,0,0,0,0,0,0.8331035
"How is it greater precision to widen the definition?  My opinion is that shock, fatigue and exhaustion are all much more recognizable, more meaningful and negative than simply disorder.  In turn, this means that disorder is more neutral and thus euphemistic.",0,0,0,0,0,0,0.66582274
"new section 

your retarded",1,0,0,0,0,0,0.4472689
We dont know its not like she can answer you,0,0,0,0,0,0,0.76172316
"GUYZERO BITE ME
GO AHEAD AND BLOCK THE IP I DONT CARE. IT IS ONLY USED BY ABOUT 10k PEOPLE. BETTER YET GO FUCK YOURSELF",1,0,1,0,1,0,0.63116956
"Please do not delete websites without knowing what you are doing. This is a big game, its just not world wide yet, i've seen many articles like this on wikipedia, i don't see how ours is diffrent, until then fick dich",1,0,0,0,0,0,0.82771116
Screw you.149.254.186.158,1,0,0,0,0,0,0.6694627
"(UTC)

And fundamental Christains are not as vehement?  Go f*** yourself.  16:48, 27 March 2007",1,0,1,0,1,0,0.8244857
"your dumb 

your dumb",1,0,1,0,1,0,0.57040465
"IS A FASCIST BULLY CONSTANTLY ATTEMPTING TO FORCE HIS WILL ON OTHERS

FUCKING RACIST FAGGOT",1,1,1,0,1,1,0.5920416
"I... really have nothing left to say. My sincere apology... I will now post a restriction; I will cease going to the noticeboards, and only really edit articles that interest me. I will try to stop posting on talk pages as well. Far an away I am... i...i.. don't know what else to do except wait. I'm keeping up this page for now, in order to wait. Signed... yours truly,",0,0,0,0,0,0,0.81285393
heres ya stupid signature as well you faggots129.234.155.162,1,0,1,0,1,1,0.83580935
"Test edits 

 Please stop making test edits to Wikipedia. It is considered vandalism, which, under Wikipedia policy, can lead to blocking of editing privileges. If you would like to experiment again, please use the sandbox or show preview button.",0,0,0,0,0,0,0.61047006
"Hey you fucking nigger whore, I'm removing completely false information.  BAN FORTHCOMING!",1,1,1,0,1,0,0.9325959
"Get lost vandal! 

Stop removing the notability tag from Steve Rackman. He's not notable and you know he's not notable! Stop making excuses and leave the tag alone! Better still, send it to AfD! 101.182.144.48",0,0,0,0,0,0,0.82250106
""":The wording that was reverted was as follows:


Northern Ireland (, Ulster Scots: Norlin Airlann) is a part of the United Kingdom of Great Britain and Northern Ireland[2]...

2 In common with the other constituent parts of the United Kingdom, Northern Ireland is sometimes referred to as a """"country"""" (example). The UK government also refers specifically to Northern Ireland as being a """"province"""" (UK: example; NI: example) or a """"region"""" (UK: example; NI: example). Regardless of the choice of term, it is likely to be unsatisfactory and can imply a preferred political perspective:
 """"One problem must be adverted to in writing about Northern Ireland. This is the question of what name to give to the various geographical entities. These names can be controversial, with the choice often revealing one's political preferences. ... some refer to Northern Ireland as a 'province'. That usage can arouse irritation particularly among nationalists, who claim the title 'province' should be properly reserved to the four historic provinces of Ireland-Ulster, Leinster, Munster, and Connacht. If I want to a label to apply to Northern Ireland I shall call it a 'region'. Unionists should find that title as acceptable as 'province': Northern Ireland appears as a region in the regional statistics of the United Kingdom published by the British government."""" - J. Whyte and G. FitzGerald, 1991, Interpreting Northern Ireland, Oxford University Press: Oxford
 """"One specific problem - in both general and particular senses - is to know what to call Northern Ireland itself: in the general sense, it is not a country, or a province, or a state - although some refer to it contemptuously as a statelet: the least controversial word appears to be jurisdiction, but this might change."""" - S. Dunn and H. Dawson, 2000, An Alphabetical Listing of Word, Name and Place in Northern Ireland and the Living Language of Conflict, Edwin Mellen Press: Lampeter
 """"Next - what noun is appropriate to Northern Ireland? 'Province' won't do since one-third of the province is on the wrong side of the border. 'State' implies more self-determination than Northern Ireland has ever had and 'country' or 'nation' are blatantly absurd. 'Colony' has overtones that would be resented by both communities and 'statelet' sounds too patronizing, though outsiders might consider it more precise than anything else; so one is left with the unsatisfactory word 'region'."""" - D. Murphy, 1979, A Place Apart, Penguin Books: London and it is situated in the north-east of the island of Ireland. It shares a border with the Republic of Ireland to the south and west. At the time of the 2001 UK Census, its population was 1,685,000, constituting between a quarter and a third of the island's total population and about 3% of the population of the United Kingdom.


Snowded, what is it that you find incorrect about this? The phrasing used is verbatium copy of how Northern Ireland is described on that 10 Downing Street webpage you keep wheeling out:""""Northern Ireland is a part of the United Kingdom...""""
Your approach is based on a cherry picking of sources. The copy you oppose is neutral, source-based and explains the issue clearly, factually and fairly. If there are specific issues with it then critique it. Don't just say, """"I don't like it"""". rannṗáirtí anaiṫnid (coṁrá) 

""",0,0,0,0,0,0,0.5576584
"""

plagiarism
Large portions of the article read as though they were written a century ago: and indeed they were; much turns out to have been taken verbatim from the source referenced in note 1, McClintock/Cyclopaedia of Biblical, theological, and ecclesiastical literature (1889) (""""Bronze Age Writing"""" section from p 992, etc., see Google Books) Quite aside from the issue of propriety is the fact that the information presented is rather... dated.
  """,0,0,0,0,0,0,0.6777586
"(The Times, Monday, June 4th, 1928) ~ Foreign Office List.  Order of St. Michael & St. George. ORDER OF MERIT ~ (Sir) George Abraham Grierson, K.C.I.E., Ph.D., D.Litt., LL.D.  In recognition of his eminent position as an oriental scholar & of the value to the Empire of his work on Indian Languages and Dialects.",0,0,0,0,0,0,0.48225087
"Fuc You! 

FY!
S.HIT",1,0,1,0,1,0,0.5505358
"""

Absorption = Fujiwhara effect, as it is an interaction. If the law has to go with yours, why does the article has a few examples of systems merging or absorbing? This is ridiculous! 
Besides, a sentence sates it here in the article that Alpha was absorbed by Wilma, and why can't we show a picture of it for viewers to get more information like, a view of there own? You should wake up from your sleep. (talk✉) """,0,0,0,0,0,0,0.77059084
"Imperial triple crown jewels 

' upon Ragesoss for your contributions in the areas of WP:DYK, WP:GA, and WP:FA.   ]]  Thank you for contributions to the project, Great work, especially on those Featured pictures - beautiful and'' quite useful to the project, nice work.  May you wear the crowns well.",0,0,0,0,0,0,0.78099465
"I HATE YOU 

LISTEN YOU MOTHERFUCKER, STAY OUT OF MY WAY, DONT TELL ME IM VANDALISING STUFF OR ILL COME AND VANDALISE YOU UGLY FACE. ILL COME FIND YOU AND MUSHHHHHHHHH YOU FAT ASS UP!!!!! and thanks for showing me the sandbox.
                                          MUGAMBO",1,0,1,1,1,0,0.66385794
"""

 The Ouse 

You reverted my edit with a smart comment. The user who inserted the ref. is the claimed author of the """"work"""". I can find no trace of it in the ISBN catalogue, as I can find no trace of other """"works"""" the user cites on other pages.. I'm in the process of assembling a """"sock puppet"""" list for this user, and I'm currently up to a total of over 30 accounts he's used over the last 5 years, of which 5 of are current. I'd be grateful if you would leave any such edits of mine in place.   """,0,0,0,0,0,0,0.7560843
"Vandalism 

Someone messed up the order of entrances with superstars from TNA and even legends. Someone please correct them.",0,0,0,0,0,0,0.7937571
Mind your business,0,0,0,0,0,0,0.46545807
"Thanks for your help 

Thanks for all your helps with the vandal reverts. We sure do appreciate the hard work!137.240.136.80",0,0,0,0,0,0,0.80566454
"Always Do Well To Stop A Citizen's Arrest? 

Hey, I absolutely refuse to edit articles.  I've left that duty to my betters.  Why don't you try to fix the problems that hamper good reading out of Wikipedia?  I come here often to learn something new.  I don't like being jerked around by anybody, whether those guilty of breaking all the rules, or you who wants to ignore it and shove a boot up my ass for complaining!  24.255.11.149",1,0,1,0,0,0,0.8353001
"Please stop. If you continue to vandalize Wikipedia, as you did to User:Animum/About, you will be blocked from editing.  ''''''",0,0,0,0,0,0,0.8016875
"""

Look there are clearly more """"people"""" here that hate my guts than love me; it's very simple and clear - delete and trash ANYTHING THAT I DO HERE simply because I DO IT. Fifteen fools that are friends/allies/meat-puppets/jyronies can outvote my junior arz any day of the week because I am just myself alone.  The Democracy of stupidity prevails whether it is correct or no! Who gives a carp if it is """"my personal site"""" If it has something to offer to this article, has no advertising then what in the FREAK does it matter, anyhow?  """,1,0,0,0,0,0,0.88017917
""":I agree that there might be a problem  however, I generally agree with the changes made since Nov./05 and still do.  Moreover, your above analysis et al. is not necessarily agreeable and glazes over usage of the term, which is no less valid or verifiable, that might differ from cited definitions which seem (IMO) incomplete and minimalist.  For instance, an online search will reveal a number of instances of """"single(-)star system"""" and I think it somewhat difficult to demonstrate they they too are incorrect.  Even if those are discarded, applying this notion merely to systems with two or more stars (double, trinary) to the exclusion of single-star entities (e.g., the Solar System) seems rather illogical.  Alternatively, the current article and definition/content is neither beyond the scope of the topic nor inaccurate.

Thus, I defer to my prior comments: until there is overwhelming evidence to support this position (and I yet do not see it) or additional editorial comment, I see little reason to change the status quo.  

""",0,0,0,0,0,0,0.7607978
I don't understand why we have a screenshot of AP's GUI but not UB. Can someone remedy this?,0,0,0,0,0,0,0.7836995
"""

 Message 

Hi, I explained the """"hypocritical"""" part for you on Fastily's talk page. It's all about one .   """,0,0,0,0,0,0,0.77145696
", GAY! Ha 

I thought the same thing, He might be. this made my day, hahaha! 
   Tlk | E-M  05:22:20, 2005-09-11 (UTC) (this user is Homophobic)",1,0,0,0,0,1,0.85380423
"""
No, it just makes it a bigger Cabal, and now you are implicated as a member ;-)  DanielTom has now been blocked with email and talk page revoked.  I never understood the whole """"all admin act together"""" mentality.  If you put any 4 in a room, you couldn't get them to agree on toppings for a pizza. There is always one that insists on pineapple or anchovies.    / 2¢ / © / @ """,0,0,0,0,0,0,0.8207818
